uid;time;speed_upload;speed_download;bytes_download;bytes_upload
510;2020-04-15 10:21:15.411258+02;2470;4077;3580671;1808598
511;2020-04-15 10:51:15.466269+02;;;;
512;2020-04-15 11:51:23.073163+02;;;;
513;2020-04-15 12:21:24.348323+02;1599;4226;3705828;1106132
514;2020-04-15 12:51:27.409737+02;2120;6045;5297053;1663499
515;2020-04-15 13:21:30.391568+02;;;;
516;2020-04-15 13:51:35.778749+02;2726;8392;7349658;2251207
517;2020-04-15 14:21:41.419868+02;2824;6159;5406621;2196985
518;2020-04-15 14:51:41.592754+02;2606;4744;4153195;1837505
519;2020-04-15 15:21:46.559634+02;2676;4361;3817274;2344616
520;2020-04-15 15:51:46.389674+02;2189;4454;3988300;1877495
521;2020-04-15 16:21:49.081162+02;2172;3597;3150877;1796713
522;2020-04-15 16:51:49.624506+02;2755;2883;2522402;2096308
523;2020-04-15 17:22:02.417201+02;1569;3588;3150406;1267492
524;2020-04-15 17:52:10.108939+02;2426;5550;4856722;2094839
525;2020-04-15 18:22:14.767873+02;3800;4607;4034326;2674165
526;2020-04-15 18:52:22.97728+02;1658;5051;4441603;1405980
527;2020-04-15 19:22:28.988111+02;2477;4733;4143871;2198265
